rowNumber,date,time_of_day,headspace_package,day_within_headspace_package,clarity_pre_meditation,calm_pre_meditation,tiredness_pre_meditation,hours_awake_today,hours_slept_last_night,hours_since_meal,meditation_minutes_earlier_today,mood_bad_proportion_since_last_entry,mood_low_proportion_since_last_entry,mood_mildlypleasant_proportion_since_last_entry,mood_verygood_proportion_since_last_entry,stroop_congruent_pre_meditation,stroop_incongruent_pre_meditation,stroop_mistake_pre_meditation,meditation_randomised_walking,meditation_randomised_sitting,meditation_randomised_standing,stroop_congruent_post_meditation,stroop_incongruent_post_meditation,stroop_mistake_post_meditation,clarity_post_meditation,calm_post_meditation,tiredness_post_meditation,self_regulation_failure_severity,hrs_since_coffee,out_of_home,hangover,re_anchor,data_point_quality_compromised
127,4.11.2014,NA,4,25,4,3.25,8,7.25,NA,1,NA,NA,NA,NA,NA,9.592,12.2895,NA,0,1,0,13.05,11.6265,NA,5,5.75,7,NA,1.75,1,0,NA,NA
128,4.11.2014,NA,4,26,3,3,8.25,14.25,NA,0.75,NA,NA,NA,NA,NA,9.812,13.9335,NA,0,1,0,11.162,11.312999999999999,NA,4.75,5.75,6.5,NA,4,0,0,NA,NA
129,5.11.2014,NA,4,27,5,3.75,5,1.25,NA,12,NA,NA,NA,NA,NA,10.478,13.506,NA,0,1,0,11.838,10.2075,NA,5,5,6,NA,16,0,0,NA,1
130,6.11.2013,NA,4,28,5,4,3.75,3,NA,13,NA,NA,NA,NA,NA,11.7,12.133500000000002,NA,0,1,0,12.498,11.020500000000002,NA,4.75,3,6,NA,1,0,0,NA,NA
131,7.11.2014,NA,4,29,5.25,4.5,4.25,4,NA,0.75,NA,NA,NA,NA,NA,13.73,10.479,NA,0,1,0,10.786,11.247,NA,4.5,5.25,6,NA,0.75,0,0,NA,NA
132,8.11.2014,NA,4,30,4.5,5,6.25,1.25,NA,1,NA,NA,NA,NA,NA,11.76,10.524,NA,0,1,0,12.27,11.0175,NA,5.25,6,6.5,NA,1,0,0,NA,NA
133,12.11.2014,22:40,5,1,6,3,6,12,NA,1,NA,NA,NA,NA,NA,10.378,11.439,NA,0,0,1,13.862,11.122499999999999,NA,4,4.75,7.75,NA,10,0,0,NA,NA
134,14.11.2014,NA,5,2,5.5,5.5,3.5,2,NA,39,NA,NA,NA,NA,NA,13.286,11.3655,NA,0,1,0,12.002,9.6705,NA,5,4.5,6.5,NA,18,0,0,NA,NA
135,15.11.2014,NA,5,3,4.75,4.5,5,2.5,NA,1,NA,NA,NA,NA,NA,11.624,10.6635,NA,0,1,0,9.742,9.724499999999999,NA,4.75,4.75,6.75,NA,0.5,0,0,NA,NA
136,16.11.2014,NA,5,4,5,4.75,6.25,6,NA,2,NA,NA,NA,NA,NA,10.2,8.919,NA,0,0,1,10.37,10.5015,NA,4.75,5.5,6.5,NA,3,0,0,NA,NA
137,17.11.2014,NA,5,5,5,3.75,7.5,12.25,NA,1.25,NA,NA,NA,NA,NA,9.568,11.569500000000001,none,0,1,0,12.132,12.4515,at least one,5.25,6,7,NA,9,0,0,NA,NA
138,18.11.2014,NA,5,6,6.75,5.5,7.25,9.5,NA,5,NA,NA,NA,NA,NA,10.696,10.171499999999998,NA,0,0,1,13.492,10.2915,NA,6,6.25,7,NA,5,1,0,NA,NA
139,19.11.2014,NA,992,NA,5,5.75,7.75,6.5,NA,0,NA,NA,NA,NA,NA,13.646,13.381499999999999,NA,0,0,0,12.652,11.1345,NA,4.75,4,7.75,NA,0.5,1,0,NA,NA
140,19.11.2014,NA,5,7,4.75,5.5,7.75,12,NA,0.5,NA,NA,NA,NA,NA,11.662,10.4685,NA,0,0,1,11.644,9.5715,NA,6.5,6,6.75,NA,6,1,0,NA,NA
141,21.11.2014,NA,5,8,7,6,7.25,6.75,NA,0.75,NA,NA,NA,NA,NA,9.03,10.281,NA,0,0,1,12.158,8.5545,NA,7.25,5.75,6.25,NA,3,1,0,NA,NA
142,22.11.2014,NA,5,9,4.75,4.5,8,12.25,NA,1.25,NA,NA,NA,NA,NA,10.794,10.773,NA,0,0,1,9.582,11.314499999999999,NA,5.25,5.75,6.75,NA,1,1,0,NA,NA
143,23.11.2014,NA,5,10,5,4,7,11,NA,0.5,NA,NA,NA,NA,NA,11.492,11.2095,NA,1,0,0,10.452,10.8405,NA,6.25,5.25,6,NA,4,0,0,NA,NA
144,24.11.2014,NA,6,1,4.75,5.75,7.25,9,NA,6.5,NA,NA,NA,NA,NA,11.088,9.997499999999999,NA,0,1,0,8.624,9.5145,NA,7,6.25,6.5,NA,3,1,0,NA,NA
145,25.11.2014,NA,6,2,6,6,8,12.25,NA,2.25,NA,NA,NA,NA,NA,12.058,12.316500000000001,NA,0,1,0,9.178,12.273,NA,6,6,6,NA,8,0,0,NA,NA
146,26.11.2014,NA,6,3,5.25,5.5,6.5,5,NA,2,NA,NA,NA,NA,NA,9.324,9.8565,NA,0,1,0,12.004,10.180499999999999,NA,5,4.5,6.5,NA,3,1,0,NA,NA
147,28.11.2014,NA,6,4,6,5,5.75,6.5,NA,2.5,NA,NA,NA,NA,NA,9.272,9.7785,NA,1,0,0,13.124,10.2735,NA,6,5.75,6,NA,0.25,1,0,NA,NA
148,29.11.2014,NA,6,5,6.75,4,6.25,3,NA,2.5,NA,NA,NA,NA,NA,10.424,10.557,NA,0,0,1,10.458,10.644,NA,4,5,7,NA,2.25,0,0,NA,NA
149,30.11.2014,NA,6,6,7,4.75,6.5,10,NA,0.5,NA,NA,NA,NA,NA,10.974,11.104499999999998,NA,1,0,0,9.07,12.6675,NA,8,5.75,6.5,NA,4,0,0,NA,NA
150,2.12.2014,NA,6,7,5.5,6.25,6.25,7.75,NA,1,NA,NA,NA,NA,NA,9.454,10.863,NA,1,0,0,9.646,10.8225,NA,6.5,5,6.75,NA,0.75,0,0,NA,NA
151,3.12.2014,NA,6,8,3.5,3.5,8.5,10.5,8.25,3,NA,NA,NA,NA,NA,9.318,11.055,NA,0,0,1,9.918,8.16,NA,4.5,4.25,7,NA,0.5,1,0,NA,NA
152,4.12.2014,NA,6,9,6,5.75,7.5,14,NA,1,NA,NA,NA,NA,NA,11.694,10.7745,NA,0,1,0,9.94,11.4615,NA,5.25,NA,6.5,NA,7,0,0,NA,NA
153,5.12.2014,NA,6,10,5,4,7,10,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,4.75,5,6.5,NA,5,1,0,NA,NA
154,6.12.2014,NA,7,1,5,6,7.5,12,NA,2,NA,NA,NA,NA,NA,8.664,10.6005,at least one,0,1,0,10.704,10.815000000000001,NA,5,5.5,8,NA,2,1,0,NA,NA
155,7.12.2014,NA,7,2,5.75,4.25,6.25,7.5,NA,0.25,NA,NA,NA,NA,NA,13.541,12.001499999999998,NA,0,0,1,9.45,14.075999999999999,NA,4.75,4,6.5,NA,0,0,0,NA,NA
156,8.12.2014,NA,7,3,5,4.75,7.5,12.5,NA,24,NA,NA,NA,NA,NA,10.918,9.764999999999999,NA,1,0,0,9.122,10.9875,NA,6.5,5,5.5,NA,4.5,1,0,NA,NA
157,9.12.2014,NA,7,4,6,5.75,6,2.25,7,35,NA,NA,NA,NA,NA,12.026,10.995000000000001,NA,0,0,1,9.752,10.6485,NA,5.75,4.75,6.5,NA,0.25,0,0,NA,NA
158,11.12.2014,NA,7,5,6,6,6,7,NA,6,NA,NA,NA,NA,NA,8.286,12.4665,NA,0,1,0,10.502,10.567499999999999,NA,5.25,5.25,6.5,NA,4,0,0,NA,NA
159,12.12.2014,NA,7,6,5,6,8.5,4,NA,3,NA,NA,NA,NA,NA,11.346,11.6565,NA,1,0,0,12.79,11.682,NA,5,5,8.75,NA,3,0,0,NA,NA
160,13.12.2014,NA,7,7,7,5,6,3,10.5,2.5,NA,NA,NA,NA,NA,11.264,11.7075,NA,0,1,0,10.114,12.9465,NA,5,5,6.5,NA,2.25,0,0,NA,NA
161,14.12.2014,NA,7,8,5.25,4,3.75,10.5,NA,2,NA,NA,NA,NA,NA,8.922,9.7635,NA,0,0,1,10.536,11.6265,NA,4.75,5.25,7.5,NA,3,0,0,NA,NA
162,15.12.2014,NA,7,9,4,5.25,7.5,2.75,NA,18,NA,NA,NA,NA,NA,9.896,11.797500000000001,NA,0,0,1,11.076,11.5425,NA,5,5,6.75,NA,18,0,0,NA,NA
163,16.12.2014,NA,7,10,6.5,6,6,12.5,NA,3,NA,NA,NA,NA,NA,11.044,12.4215,NA,0,1,0,11.61,9.988499999999998,almost,5,5,5.25,NA,7,0,0,NA,NA
164,17.12.2014,NA,8,1,7.75,5.5,6,2,NA,0.5,NA,NA,NA,NA,NA,8.238,9.9855,NA,0,1,0,10.118,10.608,almost,5.5,5,6,NA,0.5,0,0,NA,NA
165,18.12.2014,NA,8,2,5.25,5.5,6.25,3.75,NA,1,NA,NA,NA,NA,NA,9.798,10.347,NA,0,1,0,9.082,10.2,NA,5.75,5.25,6,NA,2,0,0,NA,NA
166,19.12.2014,NA,992,NA,4,4.75,8,8,NA,3,NA,NA,NA,NA,NA,8.142,9.690000000000001,NA,0,0,0,12.154,9.6645,NA,5,4,6.5,NA,1,1,0,NA,NA
167,19.12.2014,NA,8,3,4,4.75,8.25,12.75,NA,2,NA,NA,NA,NA,NA,9.31,10.3605,almost,0,1,0,8.084,9.1845,none,6,5.75,7,NA,5,1,0,NA,NA
168,20.12.2014,NA,8,4,6.75,6,6,13,NA,3.5,NA,NA,NA,NA,NA,9.138,9.364500000000001,none,0,1,0,10.446,10.5285,almost,6,6,6,NA,1.5,0,0,NA,NA
169,21.12.2014,NA,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
170,22.12.2014,NA,8,6,6.25,6,7,5.25,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA
171,23.12.2014,NA,8,7,4,5.75,8,6,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,5.25,6.5,7,NA,4,1,0,NA,NA
172,24.12.2014,NA,8,8,5,4.25,7,6,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,5,1,0,NA,NA
173,25.12.2014,NA,8,9,5.25,6,6.5,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,3,1,0,NA,NA
174,26.12.2014,NA,8,10,5.25,5,5.25,11,NA,0.25,NA,NA,NA,NA,NA,10.726,11.483999999999998,NA,0,0,1,11.132,9.877500000000001,NA,5,6.25,5.75,NA,4.5,0,0,NA,NA
175,27.12.2014,NA,8,11,5.25,5,8,13,NA,0,NA,NA,NA,NA,NA,9.014,11.409,NA,0,1,0,9.342,11.1195,NA,5.5,4.75,8,NA,9,0,0,NA,NA
176,28.12.2014,NA,8,11,6.75,5.75,6.5,12,NA,2,NA,NA,NA,NA,NA,10.448,10.5735,NA,0,1,0,10.982,10.6305,NA,6,4.75,6.5,NA,3,0,0,NA,NA
177,29.12.2014,NA,8,12,6,3,6.25,5.25,NA,17,NA,NA,NA,NA,NA,8.554,10.0545,almost,0,0,1,11.352,9.597,almost,5.5,4.75,6.25,NA,17,1,0,NA,NA
178,30.12.2014,NA,8,13,4,3,9,9.5,NA,2,NA,NA,NA,NA,NA,9.556,14.136,at least one,0,1,0,10.268,12.898500000000002,none,5,3.75,9,NA,8,0,0,NA,NA
179,31.12.2014,NA,8,14,5.75,4.75,5,5.5,NA,5,NA,NA,NA,NA,NA,7.476,9.852,NA,0,0,1,9.552,9.394499999999999,NA,5,4.75,7,NA,5,1,0,NA,NA
180,1.1.2015,NA,8,15,4,4.75,7,6,NA,5,NA,NA,NA,NA,NA,9.536,11.046,almost,0,1,0,10.62,9.7875,none,4,4,8,NA,5,0,0,NA,NA
181,2.1.2015,NA,8,16,6,5.5,8,12,NA,3,NA,NA,NA,NA,NA,9.832,12.526500000000002,NA,0,0,1,10.53,10.9515,NA,6.5,6,6,NA,6,0,0,NA,NA
182,3.1.2015,NA,8,17,6,4,5,8,10.25,0,NA,NA,NA,NA,NA,9.634,10.8615,NA,0,1,0,10.72,11.0235,NA,5,4.5,6.5,NA,6.5,0,0,NA,NA
183,4.1.2015,NA,8,18,6,4,6.5,3,10.25,2.5,NA,NA,NA,NA,NA,10.754,11.5275,NA,0,0,1,9.516,10.564499999999999,NA,4,5,6.25,NA,2,0,0,NA,NA
184,5.1.2015,NA,8,19,6.5,4.75,5.75,8,NA,3,NA,NA,NA,NA,NA,12.168,10.9455,NA,0,0,1,12.238,10.83,NA,6,6,5.5,NA,2,0,0,NA,NA
185,6.1.2015,NA,8,20,5.75,6,8,9.5,NA,5.5,NA,NA,NA,NA,NA,8.844,9.380999999999998,NA,0,1,0,7.984,10.2645,NA,5.5,6.25,6.75,NA,4,1,0,NA,NA
186,7.1.2015,NA,8,21,6.75,6.5,6,11.5,7,20.5,NA,NA,NA,NA,NA,8.102,8.386500000000002,NA,0,0,1,9.164,9.84,NA,7,6,7,NA,2.5,1,0,NA,NA
187,8.1.2015,NA,8,22,5.5,4.75,7,0.5,7,33.5,NA,NA,NA,NA,NA,11.312,11.73,at least one,0,1,0,9.576,11.433,almost,6,6,6,NA,12,0,0,NA,NA
188,9.1.2015,NA,8,23,5.75,5.5,6.25,2.5,9.5,1,NA,NA,NA,NA,NA,11.88,10.9275,NA,0,1,0,8.684,9.6975,NA,7,6,5.75,NA,0.25,0,0,NA,NA
189,10.1.2015,NA,8,24,6,5,6.25,0.75,7,10,NA,NA,NA,NA,NA,8.112,9.903,at least one,0,1,0,11.03,10.977,none,5,5,6.5,NA,16,0,0,NA,1
190,10.1.2015,NA,992,NA,4,6,8,10.25,NA,3,NA,NA,NA,NA,NA,10.032,9.992999999999999,none,0,0,0,10.974,9.3705,at least one,5,4,7,NA,1.5,1,0,NA,NA
191,11.1.2015,NA,8,25,5,5.75,5.5,6.75,NA,0.25,NA,NA,NA,NA,NA,9.484,9.4665,NA,0,1,0,9.3,11.020500000000002,NA,6.5,6,6.5,NA,4,0,0,NA,NA
192,12.1.2015,NA,8,26,5,3.75,7.5,9,NA,6,NA,NA,NA,NA,NA,10.3,9.7005,NA,0,1,0,11.698,9.6675,NA,5,5.25,6.75,NA,6,1,0,NA,NA
193,13.1.2015,NA,8,27,4,3.5,8,6.5,NA,5.5,NA,NA,NA,NA,NA,12.766,11.622,at least one,0,1,0,10.388,10.852500000000001,none,5.25,5.25,6,NA,5.5,0,0,NA,NA
194,14.1.2015,NA,8,28,6,6.25,6.5,11,NA,0.25,NA,NA,NA,NA,NA,10.368,12.6195,NA,0,1,0,11.27,11.706,NA,5.75,5.75,7,NA,4,0,0,NA,NA
195,15.1.2015,NA,8,29,6.5,5.75,6,14.25,NA,2,NA,NA,NA,NA,NA,8.712,11.652,NA,0,0,1,8.176,11.371500000000001,NA,5,4.75,7,NA,4.5,0,0,NA,NA
196,16.1.2015,NA,8,30,5.75,6,7.25,16,NA,6,NA,NA,NA,NA,NA,10.54,10.0305,NA,0,1,0,14.546,12.051,NA,5,5,8.25,NA,9,0,0,NA,NA
197,17.1.2015,NA,9,1,5.5,6.25,8,8.5,NA,3,NA,NA,NA,NA,NA,11.712,9.2355,NA,0,1,0,9.095,10.880999999999998,NA,5.25,6.25,7.75,NA,3,0,0,NA,NA
198,18.1.2015,NA,9,2,6.5,5.75,7.25,11,NA,2,NA,NA,NA,NA,NA,8.264,11.943,at least one,0,0,1,10.376,12.005999999999998,at least one,6.5,6.25,7,NA,10,0,0,NA,NA
199,19.1.2015,NA,9,3,5,4.75,6,3,NA,2,NA,NA,NA,NA,NA,13.702,8.9085,NA,0,1,0,10.626,9.18,NA,5,5,6.25,NA,1,0,0,NA,NA
200,20.1.2015,NA,9,4,6,5,5.5,5,NA,4,NA,NA,NA,NA,NA,9.45,9.864,NA,0,1,0,7.992,10.363499999999998,NA,5.5,5,6.75,NA,1.5,0,0,NA,NA
201,21.1.2015,NA,9,5,6.25,5,7,11.5,6.5,22.5,NA,NA,NA,NA,NA,8.076,11.4375,almost,0,1,0,8.426,8.7885,none,5.5,5.5,7.5,NA,1.5,1,0,NA,NA
202,22.1.2015,NA,9,6,6,5,6.5,1,NA,34,NA,NA,NA,NA,NA,8.98,10.341,NA,0,0,1,10.306,11.076,NA,5,4.75,6.25,NA,12,0,0,NA,NA
203,23.1.2015,NA,9,7,6,4.75,8,13.5,NA,2,NA,NA,NA,NA,NA,10.02,10.006499999999999,NA,0,1,0,9.348,10.5075,NA,5,4,7.75,NA,28,0,0,NA,NA
204,24.1.2015,NA,9,8,6,5,5.75,4,NA,2,NA,NA,NA,NA,NA,13.41,11.5965,almost,0,1,0,11.832,9.696000000000002,none,5,4,5,NA,65,0,0,NA,NA
205,25.1.2015,NA,9,9,4.5,4,7,7.5,NA,1.5,NA,NA,NA,NA,NA,11.616,8.680499999999999,almost,0,1,0,10.782,10.7595,none,6,5,6.5,NA,93.5,0,0,NA,NA
206,26.1.2015,NA,9,10,5.5,5,7.5,11,NA,2,NA,NA,NA,NA,NA,9.982,12.4005,at least one,0,1,0,9.546,11.020500000000002,none,6,5.75,6.75,NA,145,0,0,NA,NA
207,27.1.2015,NA,10,1,6.25,5,6,5.5,11,19,NA,NA,NA,NA,NA,10.004,10.358999999999998,NA,0,1,0,8.3,9.978,NA,7,5.5,5.75,NA,164,0,0,NA,NA
208,28.1.2015,NA,10,2,5,5,6.75,9.5,NA,2.5,NA,NA,NA,NA,NA,9.922,10.7805,none,0,0,1,12.836,9.048,almost,5.5,5.25,6,NA,192.5,1,0,NA,NA
209,29.1.2015,NA,10,3,5,5,6.75,14,NA,0.25,NA,NA,NA,NA,NA,10.126,11.853,at least one,0,0,1,10.488,10.272,none,6,6.25,7,NA,12,0,0,NA,NA
210,30.1.2015,NA,10,4,3.75,5.25,7.75,13.75,NA,12.75,NA,NA,NA,NA,NA,9.828,10.3965,none,1,0,0,11.194,11.394,at least one,5.75,5.25,5.75,NA,2,0,0,NA,NA
211,31.1.2015,NA,10,5,6,5.75,6.25,3,NA,2.5,NA,NA,NA,NA,NA,9.414,11.4045,NA,0,1,0,11.554,10.6965,NA,6.25,5.25,5.75,NA,2,0,0,NA,NA
212,1.2.2015,NA,10,6,4.75,5,7.25,13.25,NA,1,40,NA,NA,NA,NA,9.93,9.294,almost,0,1,0,12.128,9.730500000000001,none,6,5.25,6.75,NA,12,0,0,NA,NA
213,2.2.2015,NA,10,7,4.75,5.5,8,13.75,NA,7,40,NA,NA,NA,NA,9.706,11.479499999999998,NA,0,1,0,11.672,10.9725,NA,6,5,7.25,NA,1.5,0,0,NA,NA
214,3.2.2015,NA,10,8,6.25,5.25,5.5,13.75,NA,2.5,NA,NA,NA,NA,NA,9.328,9.324000000000002,none,0,1,0,13.91,10.68,at least one,5.25,5,6.75,NA,2,0,0,NA,NA
215,4.2.2014,NA,10,9,5,4.25,7.5,11.75,NA,2,NA,NA,NA,NA,NA,11.47,9.036,almost,0,1,0,10.528,9.2325,none,6,5.25,6,NA,2.5,1,0,NA,NA
216,5.2.2015,NA,10,10,6,5.75,6.5,13.75,NA,1,NA,NA,NA,NA,NA,9.12,10.742999999999999,NA,0,1,0,NA,NA,NA,5,5.5,7.5,NA,5.5,0,0,NA,NA
217,6.2.2015,NA,10,11,6,6,6.5,11.75,NA,0,NA,NA,NA,NA,NA,9.244,8.227500000000001,none,0,1,0,11.704,9.2085,almost,5.5,5.25,6,NA,5,0,0,NA,NA
218,7.2.2015,NA,10,12,5,5.5,8,12.5,NA,2.5,NA,NA,NA,NA,NA,8.78,10.947,none,0,1,0,9.876,10.629000000000001,almost,5,6.25,6,NA,3.5,1,0,NA,NA
219,8.2.2015,NA,10,13,6,5.5,5.75,11,NA,0.5,NA,NA,NA,NA,NA,9.262,9.622499999999999,none,0,1,0,12.884,11.9715,almost,6,5,7.25,NA,3.5,0,0,NA,NA
220,9.2.2015,NA,10,14,6,6,5.75,0.5,NA,12,NA,NA,NA,NA,NA,10.326,10.6035,NA,0,0,1,NA,NA,NA,6,5.5,6,NA,16.5,0,0,NA,NA
221,10.2.2015,NA,10,15,5,5,6.75,12,NA,5,NA,NA,NA,NA,NA,7.086,8.508,NA,1,0,0,9.81,8.289,NA,6,5.25,6.25,NA,2,1,0,NA,NA
222,11.2.2015,NA,10,16,6,5.5,5.75,12.25,NA,1.5,NA,NA,NA,NA,NA,7,11.4105,NA,0,1,0,10.01,9.915000000000001,NA,6.5,5,6,NA,5,0,0,NA,NA
223,12.2.2015,NA,10,17,4.75,5,7.5,11,NA,5.5,NA,NA,NA,NA,NA,8.512,8.8515,NA,0,0,1,10.518,8.752500000000001,NA,4.75,4.5,7,NA,4.5,1,0,NA,NA
224,13.2.2015,NA,10,18,6,5,6,13.75,NA,3.75,NA,NA,NA,NA,NA,6.486,11.0835,NA,0,1,0,8.988,10.4955,NA,6,5.5,6,NA,7,0,0,NA,NA
225,14.2.2015,NA,10,19,6,5,5.75,8.5,7.25,0.5,NA,NA,NA,NA,NA,11.458,10.3515,almost,1,0,0,11.274,9.642,none,5,4.75,8,NA,6,0,0,NA,NA
226,15.2.2015,NA,10,20,5,5,5.5,9.25,NA,2.25,NA,NA,NA,NA,NA,7.964,8.361,NA,1,0,0,9.724,9.7935,NA,5.25,5.25,5.75,NA,1.5,0,0,NA,NA
227,16.2.2015,NA,10,21,4.5,5,7,17,NA,3,NA,NA,NA,NA,NA,12.218,10.5795,NA,0,1,0,10.608,11.935500000000001,NA,6,5,6,NA,3.5,0,0,NA,NA
228,17.2.2015,NA,10,22,6.75,6.25,5.75,7.5,NA,5.5,NA,NA,NA,NA,NA,8.676,7.9155,none,0,1,0,15.292,7.898999999999999,almost,5,5.25,6.75,NA,3,1,0,NA,NA
229,18.2.2015,NA,10,23,5,5,7,2.5,9,13.5,NA,NA,NA,NA,NA,7.882,9.978,almost,1,0,0,10.702,10.0725,none,5.25,5,6.5,NA,0.5,0,0,NA,NA
230,19.2.2015,NA,10,24,5,5.75,6.75,11,NA,43,NA,NA,NA,NA,NA,8.92,8.941500000000001,at least one,1,0,0,10.648,11.571000000000002,almost,6,5.75,5.75,NA,4,1,0,NA,NA
231,20.2.2015,NA,10,25,4,7,7.25,16,NA,0.75,NA,NA,NA,NA,NA,9.4,9.7005,NA,0,1,0,10.346,9.936,NA,4.75,5,8,1,15,0,1,NA,NA
232,21.2.2015,NA,10,26,6,5,6,3,NA,1,NA,NA,NA,NA,NA,7.938,9.531,NA,0,1,0,7.524,9.0525,NA,5,5.25,6.75,NA,1,0,0,NA,NA
233,22.2.2015,NA,10,27,3.75,3.25,7.5,10.75,6.5,1,NA,NA,NA,NA,NA,8.642,11.002500000000001,NA,1,0,0,14.15,9.874500000000001,NA,4,3,6.75,NA,6,0,0,NA,NA
234,23.2.2015,NA,10,28,4,5.5,7.25,15,NA,1,NA,NA,NA,NA,NA,11.428,9.345,almost,0,1,0,13.644,12.219000000000001,almost,5.5,5.75,6.5,NA,7,0,0,NA,NA
235,24.2.2015,NA,10,29,3.5,6.5,8.25,14,NA,1,NA,NA,NA,NA,NA,11.042,8.5455,NA,1,0,0,8.708,10.329,NA,7.5,5.5,7.25,NA,10,0,0,NA,NA
236,25.2.2015,NA,10,30,6,6,6.25,15.5,6.5,0.5,NA,NA,NA,NA,NA,10.04,10.635,NA,1,0,0,11.36,9.9825,NA,4.75,5,7.25,NA,6,0,0,NA,NA
237,26.2.2015,NA,12,1,6,5.25,6.5,15,NA,0.5,NA,NA,NA,NA,NA,11.29,9.762,NA,1,0,0,9.472,9.193499999999998,NA,5,5.25,6.75,NA,9,0,0,NA,NA
238,27.2.2015,NA,12,2,3.25,5.5,8,12,9.5,0.25,NA,NA,NA,NA,NA,11.52,12.7155,almost,1,0,0,10.428,10.701,almost,5,5,6.75,NA,3.5,0,0,NA,1
239,28.2.2015,NA,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
240,1.3.2015,NA,12,4,4,5.25,8,9.5,NA,1,NA,NA,NA,NA,NA,11.286,10.9155,NA,0,1,0,NA,NA,NA,5,5.5,7.25,NA,6.5,NA,0,NA,NA
241,2.3.2015,NA,12,5,3.75,4,7,9,NA,2,NA,NA,NA,NA,NA,9.608,9.4545,NA,0,0,1,9.902,10.741499999999998,NA,5,5.75,6.75,NA,7,0,0,NA,NA
242,3.3.2015,NA,12,6,5,6,7.75,14,NA,1,NA,NA,NA,NA,NA,9.444,9.99,NA,0,0,1,8.134,9.389999999999999,NA,4,6,7.75,NA,12,0,0,NA,NA
243,4.3.2015,NA,12,7,4.5,5.5,6.5,9.5,NA,3,NA,NA,NA,NA,NA,8.526,9.6075,NA,1,0,0,8.192,9.8265,NA,4.75,5.75,5.5,NA,2.5,1,0,NA,NA
244,5.3.2015,NA,12,8,3.75,4.5,6.25,13.5,NA,2,NA,NA,NA,NA,NA,10.436,10.0545,NA,0,0,1,9.482,10.756499999999999,NA,5,5,6.5,NA,5,0,0,NA,NA
245,6.3.2015,NA,12,8,4,4,6.75,12,NA,24.5,NA,NA,NA,NA,NA,10.028,8.818499999999998,almost,0,1,0,10.426,11.847,at least one,4,3,7.5,NA,3,1,0,NA,NA
246,7.3.2015,NA,12,9,5,3,6,0.5,7,34.75,NA,NA,NA,NA,NA,11.938,11.108999999999998,at least one,0,1,0,14.008,13.144499999999999,almost,5,4,6.5,NA,14,0,0,NA,NA
247,8.3.2015,NA,12,10,5,5.5,6.25,12,NA,4,NA,NA,NA,NA,NA,9.726,13.603500000000002,almost,0,1,0,9.922,11.131499999999999,none,4.25,4.75,7,NA,8,0,0,NA,NA
248,9.3.2015,NA,11,1,5,5,7,15,7,3,NA,NA,NA,NA,NA,10.784,8.193,none,0,0,1,9.424,8.8125,at least one,4,5,6.75,NA,13,0,0,NA,NA
249,10.3.2014,NA,11,2,5.5,5.75,6.25,12.5,NA,0.5,NA,NA,NA,NA,NA,9.182,10.995000000000001,at least one,1,0,0,12.038,10.810500000000001,none,4,4.5,6.75,NA,7,0,0,NA,NA
250,11.3.2015,NA,11,3,4.5,4,7.25,12,NA,6.5,NA,NA,NA,NA,NA,9.666,10.6965,none,0,1,0,8.678,10.178999999999998,at least one,3.5,4.25,8.25,NA,2.5,1,0,NA,NA
251,12.3.2015,NA,11,4,4,6,9,13,6,1.5,NA,NA,NA,NA,NA,13.152,10.7145,NA,0,0,1,9.982,11.0595,NA,5,5.5,8,NA,15.5,0,0,NA,NA
252,13.3.2015,NA,11,5,3.75,4,6.5,12.5,NA,4.75,NA,NA,NA,NA,NA,8.584,11.4045,almost,0,1,0,9.798,10.7745,at least one,4,5.75,6.5,NA,3,1,0,NA,NA
253,14.3.2015,NA,11,6,6.75,5,6.25,10.5,NA,5,NA,NA,NA,NA,NA,9.824,11.1735,at least one,0,1,0,8.284,10.327499999999999,almost,5,4.5,7,NA,1,1,0,NA,1
254,15.5.2015,NA,11,7,6.25,6,5.25,10.5,10,8,NA,NA,NA,NA,NA,8.956,11.3565,none,0,1,0,8.392,11.283,at least one,5,5,6.75,NA,9,0,0,NA,NA
255,16.5.2015,NA,11,8,4,4,6.25,13.25,8,0.25,NA,NA,NA,NA,NA,7.692,8.346,NA,1,0,0,11.034,9.927000000000001,NA,5,5,6.5,NA,12.75,0,0,NA,NA
256,17.3.2015,NA,11,9,4,5,7,9.25,NA,3,NA,NA,NA,NA,NA,11.05,9.4665,NA,0,1,0,8.58,9.520500000000002,NA,5.5,5.75,6.75,NA,8.5,1,0,NA,NA
